tracking_id	FPKM	FPKM
ENSDARG00000053580	0	0
ENSDARG00000003701	0.051168	0.0202814
ENSDARG00000079350	0	0.00155305
ENSDARG00000012763	0	0
ENSDARG00000013023	0	0
ENSDARG00000095931	0	0
ENSDARG00000085599	0	0
ENSDARG00000084397	0	0
ENSDARG00000022971	0	0.00321192
ENSDARG00000085440	0	0
ENSDARG00000081597	0	0
ENSDARG00000032056	0	0
ENSDARG00000074860	0	0
ENSDARG00000085001	0	0
ENSDARG00000053542	0	0
ENSDARG00000094556	0	0
ENSDARG00000053535	0	0.127582
ENSDARG00000084626	0	0
ENSDARG00000015312	0.000640946	0.0196606
ENSDARG00000080355	0	0
ENSDARG00000015506	0	0
ENSDARG00000013006	0	0
ENSDARG00000092693	0.0218235	0
ENSDARG00000085301	0	0
ENSDARG00000058287	0	0
ENSDARG00000069910	0	0.0125841
ENSDARG00000084532	0	0
ENSDARG00000081856	0	0
ENSDARG00000081849	0	0
ENSDARG00000082811	0	0
ENSDARG00000095892	0	0
ENSDARG00000095934	0.0261405	0
ENSDARG00000079191	0	0
ENSDARG00000069754	0	0
ENSDARG00000052324	0	0
ENSDARG00000052329	0	0
ENSDARG00000058255	0	0
ENSDARG00000087826	0	0
ENSDARG00000075798	0.00416297	0
ENSDARG00000037018	0.00708521	0
ENSDARG00000074677	0.0061	0.00467183
ENSDARG00000094485	0	0
ENSDARG00000060397	0	0
ENSDARG00000094648	0	0
ENSDARG00000027199	0	0
ENSDARG00000060383	0	0
ENSDARG00000037002	0	0.00678942
ENSDARG00000076171	0	0.00113163
ENSDARG00000085343	0	0
ENSDARG00000036995	0.0219487	0
ENSDARG00000093650	0	0
ENSDARG00000069737	0	0
ENSDARG00000095555	0	0
ENSDARG00000011876	0.00158065	0
ENSDARG00000078789	5.59096	11.0814
ENSDARG00000078326	0.0396673	0.0458513
ENSDARG00000036755	0.15384	0.023589
ENSDARG00000037025	0	0.00328948
ENSDARG00000091223	0	0
ENSDARG00000037025	0	0.00472455
ENSDARG00000081340	0	0
ENSDARG00000034093	0.000216698	0.00109578
ENSDARG00000036595	0	0.603693
ENSDARG00000082897	0	0
ENSDARG00000074501	0.0098946	0.0379986
ENSDARG00000090416	0	0
ENSDARG00000074989	0	0
ENSDARG00000074268	0	0
ENSDARG00000092990	0	0
ENSDARG00000095924	0	0
ENSDARG00000094245	0.000244624	0
ENSDARG00000087963	0	0
ENSDARG00000093912	0.000571392	0
ENSDARG00000087821	0.000168669	0
ENSDARG00000094209	0	0
ENSDARG00000067858	0.000645276	0.000234418
ENSDARG00000093571	0.000657252	0.000780242
ENSDARG00000092565	0.000241262	0
ENSDARG00000095835	0	0
ENSDARG00000092284	0.00379007	0.000174642
ENSDARG00000095827	0	0
ENSDARG00000095618	0	0
ENSDARG00000078570	0	0.000169773
ENSDARG00000095886	0	0.000896392
ENSDARG00000092830	0	0
ENSDARG00000073825	0.0032414	0.0076755
ENSDARG00000092612	0.00186012	0
ENSDARG00000095713	0	0
ENSDARG00000095055	0.000599888	0.000186809
ENSDARG00000095875	0	0
ENSDARG00000093952	0	0.000813935
ENSDARG00000092524	0	0
ENSDARG00000095271	0	0
ENSDARG00000095546	0.000270957	0
ENSDARG00000093527	0.000214416	0
ENSDARG00000076343	0	0
ENSDARG00000077519	0	0
ENSDARG00000040048	0	0.00319594
ENSDARG00000082660	0	0
ENSDARG00000057303	205.725	111.633
ENSDARG00000029722	546.481	0.129267
ENSDARG00000008305	0	0
ENSDARG00000007477	0.0144498	0
ENSDARG00000053106	0.00600432	0
ENSDARG00000012016	0	0
ENSDARG00000011066	0.127444	0.44875
ENSDARG00000004621	0.307962	1.08255
ENSDARG00000095811	0	0
ENSDARG00000075098	0	0
ENSDARG00000053222	0.467143	0.114591
ENSDARG00000089976	0.0226691	0
ENSDARG00000069640	0	0
ENSDARG00000085733	0	0
ENSDARG00000005479	0	0.00107914
ENSDARG00000083741	0	0
ENSDARG00000085080	0	0
ENSDARG00000093919	0	0
ENSDARG00000036990	0	0
ENSDARG00000085746	0	0
ENSDARG00000007387	0	0
ENSDARG00000024828	1.00506	3.2805
ENSDARG00000070162	0.0107741	0.0227028
ENSDARG00000013042	0	0.0167517
ENSDARG00000080987	0	0
ENSDARG00000079183	0	0
ENSDARG00000069699	0.0155193	0
ENSDARG00000083337	0	0
ENSDARG00000094543	0	0
ENSDARG00000069700	0.0847537	0.0443982
ENSDARG00000090384	0	0
ENSDARG00000069701	0	0
ENSDARG00000020857	0	0
